fips,stusps,year,RTC,violent_rate
22,LA,2004,1996,640.0268838115263
22,LA,2005,1996,596.5615507015112
22,LA,2006,1996,721.1909963277261
22,LA,2007,1996,740.4494496214297
22,LA,2008,1996,671.3753471683066
22,LA,2009,1996,642.8653094781769
22,LA,2010,1996,555.3156472950634
22,LA,2011,1996,554.6294578126415
22,LA,2012,1996,496.2696682029116
22,LA,2013,1996,521.1822042826886
22,LA,2014,1996,515.8754420681663
23,ME,1977,1985,224.70045834416948
23,ME,1978,1985,207.69933276898257
23,ME,1979,1985,202.46130509740982
23,ME,1980,1985,193.38421380050352
23,ME,1981,1985,195.58307807246092
23,ME,1982,1985,163.01854446848958
23,ME,1983,1985,159.59859419556764
23,ME,1984,1985,158.47752623818053
23,ME,1985,1985,167.525761959403
23,ME,1986,1985,147.01873899033197
23,ME,1987,1985,152.14828639981312
23,ME,1988,1985,157.37979140975418
23,ME,1989,1985,137.15217553558108
23,ME,1990,1985,143.2494063752409
23,ME,1991,1985,132.06479521892123
23,ME,1992,1985,130.85017958228173
23,ME,1993,1985,125.74657473818051
23,ME,1994,1985,129.91933988566944
23,ME,1995,1985,131.42628211453814
23,ME,1996,1985,124.93964634633166
23,ME,1997,1985,120.77295895544931
23,ME,1998,1985,125.88425972893681
23,ME,1999,1985,112.04752278581282
23,ME,2000,1985,109.57523647560465
23,ME,2001,1985,111.71920622550215
23,ME,2002,1985,107.80803706163611
23,ME,2003,1985,108.61551224892072
23,ME,2004,1985,103.72742531985323
23,ME,2005,1985,112.50017194699444
23,ME,2006,1985,115.99805429695442
23,ME,2007,1985,118.81202128714312
23,ME,2008,1985,119.4115114720321
23,ME,2009,1985,119.85121135821743
23,ME,2010,1985,122.12034352762362
23,ME,2011,1985,123.2928965680973
23,ME,2012,1985,122.39357986956043
23,ME,2013,1985,132.5353501438033
23,ME,2014,1985,127.644600020776
24,MD,1977,Inf,693.7908350052163
24,MD,1978,Inf,732.0299150019304
24,MD,1979,Inf,795.540940972925
24,MD,1980,Inf,852.414255641531
24,MD,1981,Inf,887.1156093295981
24,MD,1982,Inf,850.03530305036
24,MD,1983,Inf,807.0630656704737
24,MD,1984,Inf,792.2512665619697
24,MD,1985,Inf,834.5856604435071
24,MD,1986,Inf,833.0048646924353
24,MD,1987,Inf,767.8059596548266
24,MD,1988,Inf,806.7614093351988
24,MD,1989,Inf,855.3898673045907
24,MD,1990,Inf,918.9644449022674
24,MD,1991,Inf,956.1525039108676
24,MD,1992,Inf,1000.1016674087882
24,MD,1993,Inf,997.7843077442982
24,MD,1994,Inf,948.0025978356474
24,MD,1995,Inf,986.850318946628
24,MD,1996,Inf,931.1909935541103
24,MD,1997,Inf,846.6236280410335
24,MD,1998,Inf,796.5529137925356
24,MD,1999,Inf,743.4208627796837
24,MD,2000,Inf,786.6157385811031
24,MD,2001,Inf,781.4218692729486
